
11 bit studios
1337 & Senri LLC
17-BIT
2D BOY
2K Games, Inc.
35cm Games
360
3DGames
505 Games Srl
9GAG
Acceleroto
Ace Viral
ACQUIRE Corp.
Action Games Lab S.A.
Activision Blizzard
Activision Publishing, Inc.
AGaming+
Agent Mega
Aidem Media
Aiming Global Service, Inc.
AJD Project
Akaoni Studio
AKPublish pty ltd
Alawar Entertainment, Inc.
Alawar Media
Alda Games
Alex Kir
Alexander Byzov
AlexRuter
ALIENS Corporation
Alper Sarıkaya
AMA LTD.
Amanita Design
Amphibius Developers
Angel Navarro Baeza
Angry Mob Games
Animoca Collective
Anuman
App Interactive Studio
AppEase
Apps Rebels
Appxplore Sdn Bhd
ARATOG LLC
ARC SYSTEM WORKS
Ariama LLC
Arkadium Games
Art Castle Ltd.
Artifex Mundi sp. z o.o.
Aspyr Media, Inc.
astragon Software GmbH
Astro Crow
Astro Malaysia
Atypical Games
Auer Media & Entertainment
Auxbrain Inc
Avenged Sevenfold Touring, Inc.
Awesome Industries sp. z o.o.
Ayopa Games
Azerbo
Backflip Studios, Inc.
Bad Crane
Bad Kraken Games
BANDAI NAMCO
BANDAI NAMCO Games
BANDAI NAMCO Games Inc.
Bass Professor
Beamdog
Bear's Studio, Inc.
BEbit Studio
Bedbug
Bedtime Digital Games
Beeline Interactive, Inc.
BeeworksGames
Best Free Games Inc.
Big Chase Racing
Big Daddys Creations
Big Duck Games LLC
Big Fish Games
Bigben Interactive
BILLIONAIRE APPS
Biodroid
Bite Size Games Limited
BitMango
BitMonster, Inc.
Bitnest Software
Blizzard Entertainment, Inc.
BlueSky Soft
Bluewind
Bossa Studios Ltd
Botond FM Bt.
BroadCON
Brutal Studio
BTNcafe
BUG-Studio
BulkyPix
Burlington Trading Ltd.
byss mobile
C4 Cat
Camouflaj, LLC
CanadaDroid
Candy Mobile
Capcom
Cartoon Network
CarX Technologies
Cat Studio HK
CD Projekt Red
Channel 4 Television Corporation
Chaotic Moon LLC
cherrypick games
Chewy Games
CHILLINGO
Chimpchilla
Christian Greitmann
Christian West
Chronus App Inc.
Chronus X Inc.
Chundos Studio
CM( Clean Master ) Games
Cobra Mobile
Coco Entertainment International
Coffee Stain Studios
Cold Beam Games Ltd
Com2uS
Com2uS USA
Concrete Software, Inc.
Continue Studios, LLC
Craneballs
Crazy Panda Mobile
Creative Mobile
CreDeOne Limited
Crescent Moon Games
CROOZ, Inc.
CYBIRD
D3Publisher
DADIU
Daniel Stefan Zeller
Dedalord
Deemedya
Deemedya m.s. ltd.
Deep Silver
DeNA Corp.
Devionix
DGames
Diego Aguirre
DIGITAL LEGENDS ENTERTAINMENT SL
DikobrazGames
Dimitrios Christopoulos
Disney
Disney Publishing Worldwide
Distinctive Wireless Inc.
DIVMOB CO., LTD
divmob games
Djinnworks GmbH
DM Studio
DogByte Games
Doodle Joy Studio
DotEmu
Double Eleven Limited
Dream-Up
DroidHen
DryGin Studios
DuCats Games
Duolingo
DVide Arts Incorporated
EAFG. Explosive Action Free Games.
EasyTech
EGProject
ElagoTech
ELECTRONIC ARTS
Electronic Arts Inc
Elex
Elex Inc
ElitApps, Ltd.
Elite Games
Ember Entertainment
Empty Flask Games
EntwicklerX
Erepublik Web España
Eric Froemling
Etermax
Extra Mile Studios Ltd
FallenTreeGames
